store_name,discount,category
1-800 Baskets,11.70%,Department Stores
1-800-PetSupplies-US,11.70%,Department Stores
1800Flowers,11.70%,Department Stores
Ace Hardware US,8.64%,Home & DIY
adidas,10.80%,"Fashion, Leisure & Sports"
Aerie - US,9.18%,Fashion
Aéropostale - US,9.18%,Fashion
Airbnb US,5.40%,"Experiences, Travel"
AirlineGift US,6.30%,"Experiences, Leisure & Sports, Travel"
Albertson's/Safeway US,5.04%,Supermarkets
AllModern.com US,8.64%,Home & DIY
Amazon.com,3.15%,"Beauty & Lifestyle, Booksellers, Electricals, Entertainment, Fashion, Home & DIY, Jewellers, Leisure & Sports, Toys & Games"
AMC® Theatres,2.70%,"Entertainment, Food & Drink"
American Eagle - US,9.18%,Fashion
Ann Taylor US,9.00%,"Fashion, Jewellers"
Apple Gift Card,3.24%,"Electricals, Entertainment"
Applebees,9.00%,Food & Drink
Aquarium US,9.18%,Food & Drink
ASOS US,7.20%,Fashion
Athleta,11.70%,"Department Stores, Fashion"
Auntie Anne's - US,7.65%,Food & Drink
AutoZone,9.00%,Department Stores
Babin’s Seafood House US,9.18%,Food & Drink
Baby Depot at Burlington - US,9.18%,Department Stores
Bahama Breeze,9.00%,Food & Drink
Baja Fresh US,7.65%,Food & Drink
Bakers Square US,11.48%,Food & Drink
Banana Republic,11.70%,"Department Stores, Fashion"
Barnes & Noble,7.20%,Booksellers
Baskin Robbins US,3.60%,Food & Drink
Bass Pro Shops US,9.90%,Leisure & Sports
Bath & Body Works - US,8.04%,Beauty & Lifestyle
Bed Bath & Beyond,6.30%,"Department Stores, Home & DIY"
BELK,10.80%,Electricals
Bertucci's - US,11.70%,Food & Drink
Best Buy-US,4.50%,Electricals
Best of Italy US,11.48%,Food & Drink
Big Lots US,7.92%,Home & DIY
Bill's Bar & Burger US,9.18%,Food & Drink
BirchLane.com US,8.64%,Home & DIY
Blaze Pizza - US,8.42%,Food & Drink
Bloomin Brands,9.00%,Food & Drink
Blue Fin Seafood Sushi US,10.80%,Food & Drink
Boardwalk Inn US,10.80%,Food & Drink
Bob Evans Restaurants® US,9.95%,Food & Drink
Bonefish Grill US,6.89%,Food & Drink
boohoo US,5.40%,Fashion
boohooMAN US,5.40%,Fashion
Boscov's US,9.36%,"Department Stores, Fashion"
Boston Market US,9.18%,Food & Drink
Bouchee Patisserie US,10.80%,Food & Drink
BR Guest Hospitality,10.80%,"Experiences, Food & Drink"
Brenner's Steakhouse US,10.80%,Food & Drink
Brick House Tavern & Tap US,10.80%,Food & Drink
Bristol Seafood Grill US,10.80%,Food & Drink
Bubba Gump Restaurant,10.80%,"Experiences, Food & Drink"
Buffalo Wild Wings US,9.00%,Food & Drink
Build-A-Bear Workshop - US,11.70%,Toys & Games
Burger King - US,6.51%,Food & Drink
Burlington US,9.18%,"Fashion, Home & DIY"
Cabela's US,10.80%,Leisure & Sports
Cadillac Bar US,9.18%,Food & Drink
Cadillac Ranch US,10.80%,Food & Drink
California Pizza Kitchen - US,11.70%,Food & Drink
Callaway Golf - US,23.40%,Entertainment
CanvasPop US,19.13%,Home & DIY
Carter's - US,9.18%,Department Stores
Carvel US,7.65%,Food & Drink
CB2 US,9.00%,Home & DIY
Charity Choice US,9.00%,"Beauty & Lifestyle, Experiences"
Chart House Restaurant,10.80%,"Experiences, Food & Drink"
Cheddars Scratch Kitchen,9.00%,Food & Drink
Cheryl’s,11.70%,Department Stores
Chevron and Texaco US,2.88%,"Food & Drink, Travel"
Chico's US,8.42%,Fashion
Chili's Grill & Bar US,8.55%,Food & Drink
Chipotle,4.50%,Food & Drink
Christmas Tree Shops US,6.12%,Home & DIY
Cinemark US,8.64%,"Entertainment, Experiences"
Cinnabon US,7.65%,Food & Drink
Claim Jumper Restaurant,10.80%,"Experiences, Food & Drink"
Clarks US,6.51%,Fashion
Clinkerdagger US,10.80%,Food & Drink
Coffee Bean & Tea Leaf US,9.36%,Food & Drink
Cold Stone Creamery US,13.50%,Food & Drink
Columbia Sportswear,13.50%,"Fashion, Leisure & Sports"
Cost Plus World Market US,6.12%,Home & DIY
Cracker Barrel US,8.64%,Food & Drink
Craft F&B US,10.80%,Food & Drink
Crate & Barrel,9.00%,Home & DIY
Crate & Kids,9.00%,Home & DIY
Crunchyroll on VRV US,11.48%,Entertainment
Crutchfield US,7.65%,Electricals
Curiosity Stream US,14.40%,Entertainment
Cutters Crabhouse US,10.80%,Food & Drink
CVS® Pharmacy,9.00%,Department Stores
Darden Restaurants,9.00%,Food & Drink
Dave & Buster's US,7.65%,"Entertainment, Experiences, Food & Drink"
Del Frisco's Double Eagle Steakhouse US,10.80%,Food & Drink
Del Frisco's Grille US,10.80%,Food & Drink
Devon Seafood Grill US,10.80%,Food & Drink
Dick's Sporting Goods - US,3.60%,Leisure & Sports
Dollar Shave Club US,10.80%,Beauty & Lifestyle
Domino’s,9.00%,Food & Drink
DoorDash US,6.30%,Food & Drink
Dos Caminos US,9.18%,Food & Drink
DSW Everyday,9.00%,"Beauty & Lifestyle, Department Stores, Fashion, Leisure & Sports, Travel"
Dunkin’ US,2.70%,Food & Drink
EA US,10.80%,Entertainment
eBay US,4.32%,Department Stores
Eddie Bauer US,7.56%,Fashion
Eddie V's US,9.00%,Food & Drink
Express - US,11.70%,Fashion
Famous Dave’s® US,8.42%,Food & Drink
Famous Footwear US,10.08%,"Fashion, Leisure & Sports"
Fanatics,10.80%,"Fashion, Leisure & Sports"
Fandango US,9.36%,Entertainment
Fazoli’s US,9.18%,Food & Drink
Fish tales US,10.80%,Food & Drink
Fisherman's Wharf US,10.80%,Food & Drink
Fleming's Prime Steakhouse & Wine Bar US,6.89%,Food & Drink
Flying Dutchman US,10.80%,Food & Drink
FlystayGift US,6.30%,"Experiences, Leisure & Sports, Travel"
Foot Locker US,9.45%,Fashion
Forever 21 US,7.92%,Fashion
Fox Nation US,7.20%,Entertainment
Fruit Bouquets,11.70%,Department Stores
Galveston Holiday Inn US,10.80%,Food & Drink
Galveston Island Historic Pleasure Pier US,10.80%,Food & Drink
GameStop US,9.00%,"Entertainment, Toys & Games"
Gander Outdoors US,7.65%,"Electricals, Fashion, Leisure & Sports"
Gandy Dancer US,10.80%,Food & Drink
GAP US,11.70%,"Department Stores, Fashion"
GetGo® US,2.88%,Food & Drink
Giant Eagle Express®stores US,2.88%,Food & Drink
Giant Eagle Market District® US,2.88%,Food & Drink
Giant Eagle US,2.88%,Supermarkets
Global Experiences Card,9.00%,"Experiences, Travel"
Global Hotel Card US,9.00%,"Leisure & Sports, Travel"
Go Play Golf by Fairway Rewards US,11.86%,"Entertainment, Leisure & Sports"
Go RIO San Antonio River Cruises US,10.80%,Food & Drink
Golden Nugget Casino,10.80%,"Entertainment, Experiences, Food & Drink"
Goodcents Deli Fresh Subs US,10.80%,Food & Drink
Google Play US,3.60%,Entertainment
Google Play USA,3.15%,Entertainment
Grand Concourse US,10.80%,Food & Drink
Great American Days US,7.65%,Experiences
Grotto US,9.18%,Food & Drink
Groupon US,7.65%,Experiences
GrubHub US,5.76%,Food & Drink
Guess US,9.00%,Fashion
Guild Wars 2 Gem Card US,11.48%,"Entertainment, Toys & Games"
Guitar Center US,7.65%,"Electricals, Entertainment"
H&M US,10.80%,"Beauty & Lifestyle, Fashion"
Hard Rock Cafe US,7.65%,Food & Drink
Harry & David,11.70%,Department Stores
Harry's - US,6.30%,Beauty & Lifestyle
Hello Fresh US,8.64%,Food & Drink
Henry's Tavern US,10.80%,Food & Drink
Hilton Galveston Island US,10.80%,Food & Drink
Home Chef US,12.60%,Food & Drink
Home Depot US,4.50%,Home & DIY
Homegoods US,8.10%,Home & DIY
Homesense US,8.10%,Home & DIY
Hooters US,9.95%,Food & Drink
Horatio's US,10.80%,Food & Drink
Hotelgift US,8.10%,"Leisure & Sports, Travel"
HotelsGift US,6.30%,"Experiences, Leisure & Sports, Travel"
Houlihan's US,10.80%,Food & Drink
HULU US,7.20%,Entertainment
iFLY US,9.18%,Entertainment
IMVU US,14.40%,"Entertainment, Fashion, Toys & Games"
Instacart,5.40%,Food & Drink
J Gilberts US,10.80%,Food & Drink
Jake's Famous Crawfish US,10.80%,Food & Drink
Jakes Grill US,10.80%,Food & Drink
Jamba Juice - US,7.65%,Food & Drink
JCPenney US,10.08%,Department Stores
Jersey Mike's - US,7.65%,Food & Drink
Jiffy Lube US,10.08%,Electricals
Jo-Ann Fabric and Craft Stores US,9.36%,"Home & DIY, Leisure & Sports"
Joe's Crab Shack,10.80%,Food & Drink
JossandMain.com US,8.64%,Home & DIY
Kemah Boardwalk US,10.80%,Food & Drink
Kigso Games US,18.00%,"Entertainment, Toys & Games"
Kincaid's Fish Chop & Steakhouse US,10.80%,Food & Drink
King Ranch Texas Kitchen US,10.80%,Food & Drink
Kohl’s,9.00%,Department Stores
Krispy Kreme - US,10.80%,Food & Drink
L.L. Bean - US,16.20%,Fashion
La Griglia US,10.80%,Food & Drink
LaGriglia US,9.18%,Food & Drink
Land's End - US,14.40%,Fashion
Landry’s Restaurant,10.80%,"Experiences, Food & Drink"
Landry’s Seafood House,10.80%,Food & Drink
Legal Sea Foods - US,13.50%,Food & Drink
Logan's Roadhouse US,7.65%,Food & Drink
Longhorn Steakhouse,9.00%,Food & Drink
Lowe's,4.50%,Home & DIY
Lululemon US,4.50%,"Fashion, Leisure & Sports"
Macy's US,11.70%,"Beauty & Lifestyle, Department Stores, Fashion"
Maggiano's Little Italy US,8.55%,Food & Drink
Maggie Bluffs US,10.80%,Food & Drink
Mai Tai Bar US,10.80%,Food & Drink
Main Event US,12.24%,Entertainment
Mandarin Oriental Hotel Group US,6.12%,"Entertainment, Food & Drink, Travel"
Manzana Rotisserie Grill US,10.80%,Food & Drink
Mark & Graham US,7.65%,Home & DIY
Marshalls US,8.10%,"Fashion, Home & DIY"
Mastro's US,10.80%,Food & Drink
maurices US,9.18%,"Fashion, Jewellers"
McAlister's Deli US,7.65%,Food & Drink
McCormick & Schmick’s Restaurant,10.80%,Food & Drink
Michaels US,9.36%,"Department Stores, Home & DIY, Leisure & Sports"
Mitchell's Steakhouse US,10.80%,Food & Drink
Mitchell’s Fish Market Restaurant,10.80%,Food & Drink
"Mix It Up (Auntie Anne’s, Carvel, Cinnabon, Jamba, McAlister’s, Moe’s Southwest Grill, Schlotzsky’s) US",7.65%,Food & Drink
MLB Shop US,9.18%,Leisure & Sports
Moe's Southwest Grill US,7.65%,Food & Drink
Morton’s Restaurant,10.80%,Food & Drink
